gm_number,opp,win_lose,r,ra,inn,walkoff,forfeit,extra_innings,won_prev_game,team,season,series,series_gm_number,series_wins,series_tot_gms,series_per,series_won
99,BOS,W,10,3,0,0,0,0,1,NYY,2012,3,7,6,18,0.8571428571428571,1
100,BOS,L,6,8,0,0,0,0,1,NYY,2012,3,8,6,18,0.75,1
101,BOS,L,2,3,10,0,0,1,0,NYY,2012,3,9,6,18,0.6666666666666666,1
102,BAL,L,4,5,0,0,0,0,0,NYY,2012,2,9,5,18,0.5555555555555556,1
103,BAL,L,5,11,0,0,0,0,0,NYY,2012,2,10,5,18,0.5,1
104,BAL,W,12,3,0,0,0,0,0,NYY,2012,2,11,6,18,0.5454545454545454,1
105,SEA,W,6,3,0,0,0,0,1,NYY,2012,13,7,5,9,0.7142857142857143,1
106,SEA,L,0,1,0,0,0,0,1,NYY,2012,13,8,5,9,0.625,1
107,SEA,W,6,2,0,0,0,0,0,NYY,2012,13,9,6,9,0.6666666666666666,1
108,DET,L,2,7,0,0,0,0,1,NYY,2012,7,7,4,10,0.5714285714285714,1
109,DET,L,5,6,0,0,0,0,0,NYY,2012,7,8,4,10,0.5,1
110,DET,W,12,8,0,0,0,0,0,NYY,2012,7,9,5,10,0.5555555555555556,1
111,DET,W,4,3,0,0,0,0,1,NYY,2012,7,10,6,10,0.6,1
112,TOR,W,10,4,0,0,0,0,1,NYY,2012,16,6,4,18,0.6666666666666666,1
113,TOR,W,5,2,0,0,0,0,1,NYY,2012,16,7,5,18,0.7142857142857143,1
114,TOR,L,7,10,0,0,0,0,1,NYY,2012,16,8,5,18,0.625,1
115,TEX,W,8,2,0,0,0,0,0,NYY,2012,15,4,2,7,0.5,1
116,TEX,W,3,0,0,0,0,0,1,NYY,2012,15,5,3,7,0.6,1
117,TEX,W,3,2,0,0,0,0,1,NYY,2012,15,6,4,7,0.6666666666666666,1
118,TEX,L,6,10,0,0,0,0,1,NYY,2012,15,7,4,7,0.5714285714285714,1
119,BOS,W,6,4,0,0,0,0,0,NYY,2012,3,10,7,18,0.7,1
120,BOS,L,1,4,0,0,0,0,1,NYY,2012,3,11,7,18,0.6363636363636364,1
121,BOS,W,4,1,0,0,0,0,0,NYY,2012,3,12,8,18,0.6666666666666666,1
122,CHW,L,6,9,0,0,0,0,1,NYY,2012,4,5,2,7,0.4,0
123,CHW,L,3,7,0,0,0,0,0,NYY,2012,4,6,2,7,0.3333333333333333,0
124,CHW,L,1,2,0,0,0,0,0,NYY,2012,4,7,2,7,0.2857142857142857,0
125,CLE,W,3,1,0,0,0,0,0,NYY,2012,6,4,4,6,1,1
126,CLE,L,1,3,0,0,0,0,1,NYY,2012,6,5,4,6,0.8,1
127,CLE,W,4,2,0,0,0,0,0,NYY,2012,6,6,5,6,0.8333333333333334,1
128,TOR,L,7,8,11,0,0,1,1,NYY,2012,16,9,5,18,0.5555555555555556,1
129,TOR,W,2,1,0,0,0,0,0,NYY,2012,16,10,6,18,0.6,1
130,TOR,L,5,8,0,0,0,0,1,NYY,2012,16,11,6,18,0.5454545454545454,1
131,BAL,L,1,6,0,0,0,0,0,NYY,2012,2,12,6,18,0.5,1
132,BAL,W,4,3,0,0,0,0,0,NYY,2012,2,13,7,18,0.5384615384615384,1
133,BAL,L,3,8,0,0,0,0,1,NYY,2012,2,14,7,18,0.5,1
134,TBR,L,3,4,0,0,0,0,0,NYY,2012,14,13,5,18,0.38461538461538464,0
135,TBR,L,2,5,0,0,0,0,0,NYY,2012,14,14,5,18,0.35714285714285715,0
136,TBR,W,6,4,0,0,0,0,0,NYY,2012,14,15,6,18,0.4,0
137,BAL,L,6,10,0,0,0,0,1,NYY,2012,2,15,7,18,0.4666666666666667,1
138,BAL,W,8,5,0,0,0,0,0,NYY,2012,2,16,8,18,0.5,1
139,BAL,L,4,5,0,0,0,0,1,NYY,2012,2,17,8,18,0.47058823529411764,1
140,BAL,W,13,3,0,0,0,0,0,NYY,2012,2,18,9,18,0.5,1
141,BOS,L,3,4,0,1,0,0,1,NYY,2012,3,13,8,18,0.6153846153846154,1
142,BOS,W,5,4,0,0,0,0,0,NYY,2012,3,14,9,18,0.6428571428571429,1
143,BOS,W,2,0,0,0,0,0,1,NYY,2012,3,15,10,18,0.6666666666666666,1
144,TBR,L,4,6,0,0,0,0,1,NYY,2012,14,16,6,18,0.375,0
145,TBR,W,5,3,0,0,0,0,0,NYY,2012,14,17,7,18,0.4117647058823529,0
146,TBR,W,6,4,0,0,0,0,1,NYY,2012,14,18,8,18,0.4444444444444444,0
147,TOR,W,4,2,0,0,0,0,1,NYY,2012,16,12,7,18,0.5833333333333334,1
148,TOR,W,2,1,0,0,0,0,1,NYY,2012,16,13,8,18,0.6153846153846154,1
149,TOR,W,10,7,0,0,0,0,1,NYY,2012,16,14,9,18,0.6428571428571429,1
150,OAK,W,2,1,10,1,0,1,1,NYY,2012,12,8,4,10,0.5,1
151,OAK,W,10,9,14,1,0,1,1,NYY,2012,12,9,5,10,0.5555555555555556,1
152,OAK,L,4,5,0,0,0,0,1,NYY,2012,12,10,5,10,0.5,1
153,MIN,W,6,3,0,0,0,0,0,NYY,2012,10,5,3,7,0.6,1
154,MIN,L,4,5,0,0,0,0,1,NYY,2012,10,6,3,7,0.5,1
155,MIN,W,8,2,0,0,0,0,0,NYY,2012,10,7,4,7,0.5714285714285714,1
156,TOR,L,0,6,0,0,0,0,1,NYY,2012,16,15,9,18,0.6,1
157,TOR,W,11,4,0,0,0,0,0,NYY,2012,16,16,10,18,0.625,1
158,TOR,L,2,3,0,0,0,0,1,NYY,2012,16,17,10,18,0.5882352941176471,1
159,TOR,W,9,6,0,0,0,0,0,NYY,2012,16,18,11,18,0.6111111111111112,1
160,BOS,W,10,2,0,0,0,0,1,NYY,2012,3,16,11,18,0.6875,1
161,BOS,W,4,3,12,1,0,1,1,NYY,2012,3,17,12,18,0.7058823529411765,1
162,BOS,W,14,2,0,0,0,0,1,NYY,2012,3,18,13,18,0.7222222222222222,1
1,BOS,L,2,8,0,0,0,0,0,NYY,2013,3,1,0,19,0,0
2,BOS,L,4,7,0,0,0,0,0,NYY,2013,3,2,0,19,0,0
3,BOS,W,4,2,0,0,0,0,0,NYY,2013,3,3,1,19,0.3333333333333333,0
4,DET,L,3,8,0,0,0,0,1,NYY,2013,7,1,0,6,0,0
5,DET,L,4,8,0,0,0,0,0,NYY,2013,7,2,0,6,0,0
6,DET,W,7,0,0,0,0,0,0,NYY,2013,7,3,1,6,0.3333333333333333,0
7,CLE,W,11,6,0,0,0,0,1,NYY,2013,5,1,1,7,1,1
8,CLE,W,14,1,0,0,0,0,1,NYY,2013,5,2,2,7,1,1
9,BAL,W,5,2,0,0,0,0,1,NYY,2013,2,1,1,19,1,1
10,BAL,L,3,5,0,0,0,0,1,NYY,2013,2,2,1,19,0.5,1
11,BAL,W,3,0,0,0,0,0,0,NYY,2013,2,3,2,19,0.6666666666666666,1
12,ARI,W,4,2,0,0,0,0,1,NYY,2013,1,1,1,3,1,1
13,ARI,W,4,3,0,0,0,0,1,NYY,2013,1,2,2,3,1,1
14,ARI,L,2,6,12,0,0,1,1,NYY,2013,1,3,2,3,0.6666666666666666,1
15,TOR,W,9,4,0,0,0,0,0,NYY,2013,20,1,1,19,1,1
16,TOR,W,5,3,11,0,0,1,1,NYY,2013,20,2,2,19,1,1
17,TOR,L,4,8,0,0,0,0,1,NYY,2013,20,3,2,19,0.6666666666666666,1
18,TBR,L,1,5,0,0,0,0,0,NYY,2013,18,1,0,19,0,1
19,TBR,W,4,3,0,0,0,0,0,NYY,2013,18,2,1,19,0.5,1
20,TBR,L,0,3,0,0,0,0,1,NYY,2013,18,3,1,19,0.3333333333333333,1
21,TOR,W,5,3,0,0,0,0,0,NYY,2013,20,4,3,19,0.75,1
22,TOR,W,6,4,0,0,0,0,1,NYY,2013,20,5,4,19,0.8,1
23,TOR,W,5,4,0,0,0,0,1,NYY,2013,20,6,5,19,0.8333333333333334,1
24,TOR,W,3,2,0,0,0,0,1,NYY,2013,20,7,6,19,0.8571428571428571,1
25,HOU,L,1,9,0,0,0,0,1,NYY,2013,8,1,0,6,0,1
26,HOU,W,7,4,0,0,0,0,0,NYY,2013,8,2,1,6,0.5,1
27,HOU,W,5,4,0,0,0,0,1,NYY,2013,8,3,2,6,0.6666666666666666,1
28,OAK,L,0,2,0,0,0,0,1,NYY,2013,14,1,0,6,0,0
29,OAK,W,4,2,0,0,0,0,0,NYY,2013,14,2,1,6,0.5,0
30,OAK,L,4,5,0,0,0,0,1,NYY,2013,14,3,1,6,0.3333333333333333,0
31,COL,L,0,2,0,0,0,0,0,NYY,2013,6,1,0,3,0,1
32,COL,W,3,2,0,0,0,0,0,NYY,2013,6,2,1,3,0.5,1
33,COL,W,3,1,0,0,0,0,1,NYY,2013,6,3,2,3,0.6666666666666666,1
34,KCR,W,11,6,0,0,0,0,1,NYY,2013,9,1,1,7,1,1
35,KCR,W,3,2,0,0,0,0,1,NYY,2013,9,2,2,7,1,1
36,KCR,W,4,2,0,0,0,0,1,NYY,2013,9,3,3,7,1,1
37,CLE,L,0,1,0,0,0,0,1,NYY,2013,5,3,2,7,0.6666666666666666,1
38,CLE,W,7,0,0,0,0,0,0,NYY,2013,5,4,3,7,0.75,1
39,SEA,W,4,3,0,0,0,0,1,NYY,2013,16,1,1,7,1,1
40,SEA,L,2,12,0,0,0,0,1,NYY,2013,16,2,1,7,0.5,1
41,SEA,L,2,3,0,0,0,0,0,NYY,2013,16,3,1,7,0.3333333333333333,1
42,TOR,W,5,0,0,0,0,0,0,NYY,2013,20,8,7,19,0.875,1
43,TOR,W,7,2,0,0,0,0,1,NYY,2013,20,9,8,19,0.8888888888888888,1
44,BAL,W,6,4,10,0,0,1,1,NYY,2013,2,4,3,19,0.75,1
45,BAL,L,2,3,10,1,0,1,1,NYY,2013,2,5,3,19,0.6,1
46,BAL,L,3,6,0,0,0,0,0,NYY,2013,2,6,3,19,0.5,1
47,TBR,W,9,4,0,0,0,0,0,NYY,2013,18,4,2,19,0.5,1
48,TBR,W,4,3,11,0,0,1,1,NYY,2013,18,5,3,19,0.6,1
49,TBR,L,3,8,0,0,0,0,1,NYY,2013,18,6,3,19,0.5,1
50,NYM,L,1,2,0,0,0,0,0,NYY,2013,13,1,0,4,0,0
51,NYM,L,1,2,0,1,0,0,0,NYY,2013,13,2,0,4,0,0
52,NYM,L,4,9,0,0,0,0,0,NYY,2013,13,3,0,4,0,0
53,NYM,L,1,3,0,0,0,0,0,NYY,2013,13,4,0,4,0,0
54,BOS,W,4,1,0,0,0,0,0,NYY,2013,3,4,2,19,0.5,0
55,BOS,L,1,11,0,0,0,0,1,NYY,2013,3,5,2,19,0.4,0
56,BOS,L,0,3,6,0,0,0,0,NYY,2013,3,6,2,19,0.3333333333333333,0
57,CLE,W,7,4,0,0,0,0,0,NYY,2013,5,5,4,7,0.8,1
58,CLE,W,4,3,0,0,0,0,1,NYY,2013,5,6,5,7,0.8333333333333334,1
59,CLE,W,6,4,0,0,0,0,1,NYY,2013,5,7,6,7,0.8571428571428571,1
60,SEA,W,6,1,0,0,0,0,1,NYY,2013,16,4,2,7,0.5,1
61,SEA,L,1,4,0,0,0,0,1,NYY,2013,16,5,2,7,0.4,1
62,SEA,W,3,1,0,0,0,0,0,NYY,2013,16,6,3,7,0.5,1
63,SEA,W,2,1,0,0,0,0,1,NYY,2013,16,7,4,7,0.5714285714285714,1
64,OAK,L,4,6,0,0,0,0,1,NYY,2013,14,4,1,6,0.25,0
65,OAK,L,2,5,0,0,0,0,0,NYY,2013,14,5,1,6,0.2,0
66,OAK,L,2,3,18,1,0,1,0,NYY,2013,14,6,1,6,0.16666666666666666,0
67,LAA,L,2,5,0,0,0,0,0,NYY,2013,10,1,0,7,0,1
68,LAA,L,2,6,0,0,0,0,0,NYY,2013,10,2,0,7,0,1
69,LAA,W,6,5,0,0,0,0,0,NYY,2013,10,3,1,7,0.3333333333333333,1
70,LAD,W,6,4,0,0,0,0,1,NYY,2013,11,1,1,4,1,1
71,LAD,L,0,6,0,0,0,0,1,NYY,2013,11,2,1,4,0.5,1
72,TBR,L,3,8,0,0,0,0,0,NYY,2013,18,7,3,19,0.42857142857142855,1
73,TBR,W,6,2,0,0,0,0,0,NYY,2013,18,8,4,19,0.5,1
74,TBR,W,7,5,0,0,0,0,1,NYY,2013,18,9,5,19,0.5555555555555556,1
75,TBR,L,1,3,0,0,0,0,1,NYY,2013,18,10,5,19,0.5,1
76,TEX,W,4,3,0,1,0,0,0,NYY,2013,19,1,1,7,1,1
77,TEX,L,5,8,0,0,0,0,1,NYY,2013,19,2,1,7,0.5,1
78,TEX,L,0,2,0,0,0,0,0,NYY,2013,19,3,1,7,0.3333333333333333,1
79,BAL,L,3,4,0,0,0,0,0,NYY,2013,2,7,3,19,0.42857142857142855,1
80,BAL,L,3,11,0,0,0,0,0,NYY,2013,2,8,3,19,0.375,1
81,BAL,L,2,4,0,0,0,0,0,NYY,2013,2,9,3,19,0.3333333333333333,1
82,MIN,W,10,4,0,0,0,0,0,NYY,2013,12,1,1,7,1,1
83,MIN,W,7,3,0,0,0,0,1,NYY,2013,12,2,2,7,1,1
84,MIN,W,3,2,0,0,0,0,1,NYY,2013,12,3,3,7,1,1
85,MIN,W,9,5,0,0,0,0,1,NYY,2013,12,4,4,7,1,1
86,BAL,W,3,2,0,1,0,0,1,NYY,2013,2,10,4,19,0.4,1
87,BAL,W,5,4,0,0,0,0,1,NYY,2013,2,11,5,19,0.45454545454545453,1
88,BAL,L,1,2,0,0,0,0,1,NYY,2013,2,12,5,19,0.4166666666666667,1
89,KCR,L,1,5,0,0,0,0,0,NYY,2013,9,4,3,7,0.75,1
90,KCR,L,1,3,0,0,0,0,0,NYY,2013,9,5,3,7,0.6,1
91,KCR,W,8,1,0,0,0,0,0,NYY,2013,9,6,4,7,0.6666666666666666,1
92,KCR,W,8,4,0,0,0,0,1,NYY,2013,9,7,5,7,0.7142857142857143,1
93,MIN,W,2,0,0,0,0,0,1,NYY,2013,12,5,5,7,1,1
94,MIN,L,1,4,0,0,0,0,1,NYY,2013,12,6,5,7,0.8333333333333334,1
95,MIN,L,4,10,0,0,0,0,0,NYY,2013,12,7,5,7,0.7142857142857143,1
96,BOS,L,2,4,0,0,0,0,0,NYY,2013,3,7,2,19,0.2857142857142857,0
97,BOS,W,5,2,0,0,0,0,0,NYY,2013,3,8,3,19,0.375,0
98,BOS,L,7,8,11,1,0,1,1,NYY,2013,3,9,3,19,0.3333333333333333,0
99,TEX,L,0,3,0,0,0,0,0,NYY,2013,19,4,1,7,0.25,1
100,TEX,W,5,4,0,0,0,0,0,NYY,2013,19,5,2,7,0.4,1
101,TEX,L,1,3,0,0,0,0,1,NYY,2013,19,6,2,7,0.3333333333333333,1
102,TEX,W,2,0,0,0,0,0,0,NYY,2013,19,7,3,7,0.42857142857142855,1
103,TBR,L,6,10,0,0,0,0,1,NYY,2013,18,11,5,19,0.45454545454545453,1
104,TBR,L,0,1,0,0,0,0,0,NYY,2013,18,12,5,19,0.4166666666666667,1
105,TBR,W,6,5,0,1,0,0,0,NYY,2013,18,13,6,19,0.46153846153846156,1
106,LAD,L,2,3,0,1,0,0,1,NYY,2013,11,3,1,4,0.3333333333333333,1
107,LAD,W,3,0,0,0,0,0,0,NYY,2013,11,4,2,4,0.5,1
108,SDP,L,2,7,0,0,0,0,1,NYY,2013,15,1,0,3,0,0
109,SDP,W,3,0,0,0,0,0,0,NYY,2013,15,2,1,3,0.5,0
110,SDP,L,3,6,0,0,0,0,1,NYY,2013,15,3,1,3,0.3333333333333333,0
111,CHW,L,1,8,0,0,0,0,0,NYY,2013,4,1,0,6,0,0
112,CHW,L,2,3,0,0,0,0,0,NYY,2013,4,2,0,6,0,0
113,CHW,L,5,6,12,1,0,1,0,NYY,2013,4,3,0,6,0,0
114,DET,W,4,3,10,1,0,1,0,NYY,2013,7,4,2,6,0.5,0
115,DET,L,3,9,0,0,0,0,1,NYY,2013,7,5,2,6,0.4,0
116,DET,W,5,4,0,1,0,0,0,NYY,2013,7,6,3,6,0.5,0
117,LAA,W,2,1,0,0,0,0,1,NYY,2013,10,4,2,7,0.5,1
118,LAA,W,14,7,0,0,0,0,1,NYY,2013,10,5,3,7,0.6,1
119,LAA,W,11,3,0,0,0,0,1,NYY,2013,10,6,4,7,0.6666666666666666,1
120,LAA,L,4,8,0,0,0,0,1,NYY,2013,10,7,4,7,0.5714285714285714,1
121,BOS,W,10,3,0,0,0,0,0,NYY,2013,3,10,4,19,0.4,0
122,BOS,L,1,6,0,0,0,0,1,NYY,2013,3,11,4,19,0.36363636363636365,0
123,BOS,W,9,6,0,0,0,0,0,NYY,2013,3,12,5,19,0.4166666666666667,0
124,TOR,W,8,4,0,0,0,0,1,NYY,2013,20,10,9,19,0.9,1
125,TOR,W,3,2,0,1,0,0,1,NYY,2013,20,11,10,19,0.9090909090909091,1
126,TOR,W,4,2,0,0,0,0,1,NYY,2013,20,12,11,19,0.9166666666666666,1
127,TOR,W,5,3,0,0,0,0,1,NYY,2013,20,13,12,19,0.9230769230769231,1
128,TBR,L,2,7,0,0,0,0,1,NYY,2013,18,14,6,19,0.42857142857142855,1
129,TBR,L,2,4,0,0,0,0,0,NYY,2013,18,15,6,19,0.4,1
130,TBR,W,3,2,11,0,0,1,0,NYY,2013,18,16,7,19,0.4375,1
131,TOR,L,2,5,0,0,0,0,1,NYY,2013,20,14,12,19,0.8571428571428571,1
132,TOR,W,7,1,0,0,0,0,0,NYY,2013,20,15,13,19,0.8666666666666667,1
133,TOR,L,2,7,0,0,0,0,1,NYY,2013,20,16,13,19,0.8125,1
134,BAL,W,8,5,0,0,0,0,0,NYY,2013,2,13,6,19,0.46153846153846156,1
135,BAL,W,2,0,0,0,0,0,1,NYY,2013,2,14,7,19,0.5,1
136,BAL,L,3,7,0,0,0,0,1,NYY,2013,2,15,7,19,0.4666666666666667,1
137,CHW,W,9,1,0,0,0,0,0,NYY,2013,4,4,1,6,0.25,0
138,CHW,W,6,4,0,0,0,0,1,NYY,2013,4,5,2,6,0.4,0
139,CHW,W,6,5,0,0,0,0,1,NYY,2013,4,6,3,6,0.5,0
140,BOS,L,8,9,10,0,0,1,1,NYY,2013,3,13,5,19,0.38461538461538464,0
141,BOS,L,8,12,0,0,0,0,0,NYY,2013,3,14,5,19,0.35714285714285715,0
142,BOS,L,9,13,0,0,0,0,0,NYY,2013,3,15,5,19,0.3333333333333333,0
143,BOS,W,4,3,0,1,0,0,0,NYY,2013,3,16,6,19,0.375,0
144,BAL,L,2,4,0,0,0,0,1,NYY,2013,2,16,7,19,0.4375,1
145,BAL,W,7,5,0,0,0,0,0,NYY,2013,2,17,8,19,0.47058823529411764,1
146,BAL,W,5,4,0,0,0,0,1,NYY,2013,2,18,9,19,0.5,1
147,BAL,W,6,5,0,0,0,0,1,NYY,2013,2,19,10,19,0.5263157894736842,1
148,BOS,L,4,8,0,0,0,0,1,NYY,2013,3,17,6,19,0.35294117647058826,0
149,BOS,L,1,5,0,0,0,0,0,NYY,2013,3,18,6,19,0.3333333333333333,0
150,BOS,L,2,9,0,0,0,0,0,NYY,2013,3,19,6,19,0.3157894736842105,0
151,TOR,L,0,2,0,0,0,0,0,NYY,2013,20,17,13,19,0.7647058823529411,1
152,TOR,W,4,3,0,0,0,0,0,NYY,2013,20,18,14,19,0.7777777777777778,1
153,TOR,L,2,6,0,0,0,0,1,NYY,2013,20,19,14,19,0.7368421052631579,1
154,SFG,W,5,1,0,0,0,0,0,NYY,2013,17,1,1,3,1,1
155,SFG,W,6,0,0,0,0,0,1,NYY,2013,17,2,2,3,1,1
156,SFG,L,1,2,0,0,0,0,1,NYY,2013,17,3,2,3,0.6666666666666666,1
157,TBR,L,0,7,0,0,0,0,0,NYY,2013,18,17,7,19,0.4117647058823529,1
158,TBR,L,3,8,0,0,0,0,0,NYY,2013,18,18,7,19,0.3888888888888889,1
159,TBR,L,0,4,0,0,0,0,0,NYY,2013,18,19,7,19,0.3684210526315789,1
160,HOU,W,3,2,0,0,0,0,0,NYY,2013,8,4,3,6,0.75,1
161,HOU,W,2,1,0,0,0,0,1,NYY,2013,8,5,4,6,0.8,1
162,HOU,W,5,1,14,0,0,1,1,NYY,2013,8,6,5,6,0.8333333333333334,1
1,HOU,L,2,6,0,0,0,0,0,NYY,2014,8,1,0,6,0,0
2,HOU,L,1,3,0,0,0,0,0,NYY,2014,8,2,0,6,0,0
3,HOU,W,4,2,0,0,0,0,0,NYY,2014,8,3,1,6,0.3333333333333333,0
4,TOR,W,7,3,0,0,0,0,1,NYY,2014,20,1,1,19,1,1
5,TOR,L,0,4,0,0,0,0,1,NYY,2014,20,2,1,19,0.5,1
6,TOR,W,6,4,0,0,0,0,0,NYY,2014,20,3,2,19,0.6666666666666666,1
7,BAL,W,4,2,0,0,0,0,1,NYY,2014,1,1,1,19,1,1
8,BAL,L,5,14,0,0,0,0,1,NYY,2014,1,2,1,19,0.5,1
9,BAL,L,4,5,0,0,0,0,0,NYY,2014,1,3,1,19,0.3333333333333333,1
10,BOS,W,4,1,0,0,0,0,0,NYY,2014,2,1,1,19,1,1
11,BOS,L,2,4,0,0,0,0,1,NYY,2014,2,2,1,19,0.5,1
12,BOS,W,7,4,0,0,0,0,0,NYY,2014,2,3,2,19,0.6666666666666666,1
13,BOS,W,3,2,0,0,0,0,1,NYY,2014,2,4,3,19,0.75,1
14,CHC,W,3,0,0,0,0,0,1,NYY,2014,3,1,1,4,1,1
15,CHC,W,2,0,0,0,0,0,1,NYY,2014,3,2,2,4,1,1
16,TBR,W,10,2,0,0,0,0,1,NYY,2014,18,1,1,19,1,1
17,TBR,L,5,11,0,0,0,0,1,NYY,2014,18,2,1,19,0.5,1
18,TBR,L,1,16,0,0,0,0,0,NYY,2014,18,3,1,19,0.3333333333333333,1
19,TBR,W,5,1,12,0,0,1,0,NYY,2014,18,4,2,19,0.5,1
20,BOS,W,9,3,0,0,0,0,1,NYY,2014,2,5,4,19,0.8,1
21,BOS,L,1,5,0,0,0,0,1,NYY,2014,2,6,4,19,0.6666666666666666,1
22,BOS,W,14,5,0,0,0,0,0,NYY,2014,2,7,5,19,0.7142857142857143,1
23,LAA,L,1,13,0,0,0,0,1,NYY,2014,10,1,0,6,0,1
24,LAA,W,4,3,0,0,0,0,0,NYY,2014,10,2,1,6,0.5,1
25,LAA,W,3,2,0,0,0,0,1,NYY,2014,10,3,2,6,0.6666666666666666,1
26,SEA,L,3,6,0,0,0,0,1,NYY,2014,16,1,0,6,0,0
27,SEA,L,2,4,0,0,0,0,0,NYY,2014,16,2,0,6,0,0
28,TBR,L,5,10,14,0,0,1,0,NYY,2014,18,5,2,19,0.4,1
29,TBR,W,9,3,0,0,0,0,0,NYY,2014,18,6,3,19,0.5,1
30,TBR,L,1,5,0,0,0,0,1,NYY,2014,18,7,3,19,0.42857142857142855,1
31,LAA,L,1,4,0,0,0,0,0,NYY,2014,10,4,2,6,0.5,1
32,LAA,W,4,3,0,0,0,0,0,NYY,2014,10,5,3,6,0.6,1
33,LAA,W,9,2,0,0,0,0,1,NYY,2014,10,6,4,6,0.6666666666666666,1
34,MIL,W,5,3,0,0,0,0,1,NYY,2014,11,1,1,3,1,1
35,MIL,L,4,5,0,0,0,0,1,NYY,2014,11,2,1,3,0.5,1
36,MIL,L,5,6,0,1,0,0,0,NYY,2014,11,3,1,3,0.3333333333333333,1
37,NYM,L,7,9,0,0,0,0,0,NYY,2014,13,1,0,4,0,0
38,NYM,L,7,12,0,0,0,0,0,NYY,2014,13,2,0,4,0,0
39,NYM,W,4,0,0,0,0,0,0,NYY,2014,13,3,1,4,0.3333333333333333,0
40,NYM,W,1,0,0,0,0,0,1,NYY,2014,13,4,2,4,0.5,0
41,PIT,W,7,1,0,0,0,0,1,NYY,2014,15,1,1,3,1,1
42,PIT,W,4,3,0,0,0,0,1,NYY,2014,15,2,2,3,1,1
43,PIT,L,3,5,0,0,0,0,1,NYY,2014,15,3,2,3,0.6666666666666666,1
44,CHC,L,1,6,0,0,0,0,0,NYY,2014,3,3,2,4,0.6666666666666666,1
45,CHC,W,4,2,13,0,0,1,0,NYY,2014,3,4,3,4,0.75,1
46,CHW,L,2,3,0,0,0,0,1,NYY,2014,4,1,0,7,0,1
47,CHW,L,5,6,0,1,0,0,0,NYY,2014,4,2,0,7,0,1
48,CHW,W,4,3,10,0,0,1,0,NYY,2014,4,3,1,7,0.3333333333333333,1
49,CHW,W,7,1,0,0,0,0,1,NYY,2014,4,4,2,7,0.5,1
50,STL,W,6,4,12,0,0,1,1,NYY,2014,17,1,1,3,1,1
51,STL,L,0,6,0,0,0,0,1,NYY,2014,17,2,1,3,0.5,1
52,STL,W,7,4,0,0,0,0,0,NYY,2014,17,3,2,3,0.6666666666666666,1
53,MIN,L,1,6,0,0,0,0,1,NYY,2014,12,1,0,7,0,1
54,MIN,W,3,1,0,0,0,0,0,NYY,2014,12,2,1,7,0.5,1
55,MIN,L,2,7,0,0,0,0,1,NYY,2014,12,3,1,7,0.3333333333333333,1
56,SEA,L,2,10,0,0,0,0,0,NYY,2014,16,3,0,6,0,0
57,OAK,L,2,5,10,0,0,1,0,NYY,2014,14,1,0,6,0,0
58,OAK,L,4,7,0,0,0,0,0,NYY,2014,14,2,0,6,0,0
59,OAK,W,2,1,0,0,0,0,0,NYY,2014,14,3,1,6,0.3333333333333333,0
60,KCR,W,4,2,0,0,0,0,1,NYY,2014,9,1,1,7,1,1
61,KCR,L,4,8,0,0,0,0,1,NYY,2014,9,2,1,7,0.5,1
62,KCR,L,1,2,0,0,0,0,0,NYY,2014,9,3,1,7,0.3333333333333333,1
63,SEA,W,3,2,0,0,0,0,0,NYY,2014,16,4,1,6,0.25,0
64,SEA,W,4,2,0,0,0,0,1,NYY,2014,16,5,2,6,0.4,0
65,SEA,W,6,3,0,0,0,0,1,NYY,2014,16,6,3,6,0.5,0
66,OAK,W,7,0,0,0,0,0,1,NYY,2014,14,4,2,6,0.5,0
67,OAK,L,1,5,0,0,0,0,1,NYY,2014,14,5,2,6,0.4,0
68,OAK,L,5,10,0,0,0,0,0,NYY,2014,14,6,2,6,0.3333333333333333,0
69,TOR,W,3,1,0,0,0,0,0,NYY,2014,20,4,3,19,0.75,1
70,TOR,W,7,3,0,0,0,0,1,NYY,2014,20,5,4,19,0.8,1
71,TOR,W,6,4,0,0,0,0,1,NYY,2014,20,6,5,19,0.8333333333333334,1
72,BAL,W,5,3,0,1,0,0,1,NYY,2014,1,4,2,19,0.5,1
73,BAL,L,1,6,0,0,0,0,1,NYY,2014,1,5,2,19,0.4,1
74,BAL,L,0,8,0,0,0,0,0,NYY,2014,1,6,2,19,0.3333333333333333,1
75,TOR,L,3,8,0,0,0,0,0,NYY,2014,20,7,5,19,0.7142857142857143,1
76,TOR,L,6,7,0,1,0,0,0,NYY,2014,20,8,5,19,0.625,1
77,TOR,W,5,3,0,0,0,0,0,NYY,2014,20,9,6,19,0.6666666666666666,1
78,BOS,W,6,0,0,0,0,0,1,NYY,2014,2,8,6,19,0.75,1
79,BOS,L,1,2,0,0,0,0,1,NYY,2014,2,9,6,19,0.6666666666666666,1
80,BOS,L,5,8,0,0,0,0,0,NYY,2014,2,10,6,19,0.6,1
81,TBR,L,3,4,12,0,0,1,0,NYY,2014,18,8,3,19,0.375,1
82,TBR,L,1,2,0,0,0,0,0,NYY,2014,18,9,3,19,0.3333333333333333,1
83,TBR,L,3,6,0,0,0,0,0,NYY,2014,18,10,3,19,0.3,1
84,MIN,W,7,4,0,0,0,0,0,NYY,2014,12,4,2,7,0.5,1
85,MIN,W,6,5,0,0,0,0,1,NYY,2014,12,5,3,7,0.6,1
