gm_number,wins,losses,division_rank,gb,c_li,streak,games_back,win_per,win_streak,losing_streak,team,season
1,1,0,1,Tied,.99,+,0,1,1,0,NYY,2000
2,2,0,1,Tied,1.01,++,0,1,2,0,NYY,2000
3,2,1,1,Tied,1.08,-,0,0.6666666666666666,0,1,NYY,2000
4,2,2,2,1.0,1.07,--,-1,0.5,0,2,NYY,2000
5,3,2,2,1.0,1.04,+,-1,0.6,1,0,NYY,2000
6,3,3,2,2.0,1.09,-,-2,0.5,0,1,NYY,2000
7,4,3,2,0.5,1.07,+,-0.5,0.5714285714285714,1,0,NYY,2000
8,5,3,1,up 0.5,1.06,++,0.5,0.625,2,0,NYY,2000
9,6,3,1,up 1.5,1.15,+++,1.5,0.6666666666666666,3,0,NYY,2000
10,7,3,1,up 1.5,1.19,++++,1.5,0.7,4,0,NYY,2000
11,8,3,1,up 1.5,1.19,+++++,1.5,0.7272727272727273,5,0,NYY,2000
12,9,3,1,up 2.0,1.21,++++++,2,0.75,6,0,NYY,2000
13,10,3,1,up 2.5,1.22,+++++++,2.5,0.7692307692307693,7,0,NYY,2000
14,11,3,1,up 2.5,1.24,++++++++,2.5,0.7857142857142857,8,0,NYY,2000
15,11,4,1,up 1.0,1.34,-,1,0.7333333333333333,0,1,NYY,2000
16,11,5,1,Tied,1.38,--,0,0.6875,0,2,NYY,2000
17,12,5,1,up 1.0,1.38,+,1,0.7058823529411765,1,0,NYY,2000
18,12,6,1,up 1.0,1.26,-,1,0.6666666666666666,0,1,NYY,2000
19,12,7,1,Tied,1.27,--,0,0.631578947368421,0,2,NYY,2000
20,13,7,1,up 1.0,1.23,+,1,0.65,1,0,NYY,2000
21,14,7,1,up 1.5,1.39,++,1.5,0.6666666666666666,2,0,NYY,2000
22,14,8,1,up 0.5,1.38,-,0.5,0.6363636363636364,0,1,NYY,2000
23,15,8,1,up 1.5,1.38,+,1.5,0.6521739130434783,1,0,NYY,2000
24,16,8,1,up 2.0,1.30,++,2,0.6666666666666666,2,0,NYY,2000
25,17,8,1,up 2.0,1.37,+++,2,0.68,3,0,NYY,2000
26,18,8,1,up 3.0,1.37,++++,3,0.6923076923076923,4,0,NYY,2000
27,19,8,1,up 3.0,1.46,+++++,3,0.7037037037037037,5,0,NYY,2000
28,20,8,1,up 4.0,1.44,++++++,4,0.7142857142857143,6,0,NYY,2000
29,20,9,1,up 3.0,1.41,-,3,0.6896551724137931,0,1,NYY,2000
30,21,9,1,up 3.0,1.33,+,3,0.7,1,0,NYY,2000
31,22,9,1,up 4.0,1.29,++,4,0.7096774193548387,2,0,NYY,2000
32,22,10,1,up 2.5,1.31,-,2.5,0.6875,0,1,NYY,2000
33,22,11,1,up 1.5,1.26,--,1.5,0.6666666666666666,0,2,NYY,2000
34,22,12,1,up 0.5,1.29,---,0.5,0.6470588235294118,0,3,NYY,2000
35,22,13,2,0.5,1.27,----,-0.5,0.6285714285714286,0,4,NYY,2000
36,22,14,2,1.0,1.38,-----,-1,0.6111111111111112,0,5,NYY,2000
37,23,14,2,1.0,1.40,+,-1,0.6216216216216216,1,0,NYY,2000
38,24,14,2,1.0,1.37,++,-1,0.631578947368421,2,0,NYY,2000
39,24,15,2,1.0,1.37,-,-1,0.6153846153846154,0,1,NYY,2000
40,24,16,2,1.0,1.41,--,-1,0.6,0,2,NYY,2000
41,24,17,2,1.0,1.41,---,-1,0.5853658536585366,0,3,NYY,2000
42,25,17,2,1.0,1.40,+,-1,0.5952380952380952,1,0,NYY,2000
43,26,17,1,Tied,1.44,++,0,0.6046511627906976,2,0,NYY,2000
44,26,18,2,1.0,1.65,-,-1,0.5909090909090909,0,1,NYY,2000
45,27,18,1,Tied,1.65,+,0,0.6,1,0,NYY,2000
46,27,19,2,1.0,1.69,-,-1,0.5869565217391305,0,1,NYY,2000
47,28,19,2,0.5,1.40,+,-0.5,0.5957446808510638,1,0,NYY,2000
48,28,20,2,1.5,1.43,-,-1.5,0.5833333333333334,0,1,NYY,2000
49,28,21,2,1.5,1.39,--,-1.5,0.5714285714285714,0,2,NYY,2000
50,29,21,1,Tied,1.41,+,0,0.58,1,0,NYY,2000
51,29,22,1,Tied,1.38,-,0,0.5686274509803921,0,1,NYY,2000
52,30,22,1,up 1.0,1.39,+,1,0.5769230769230769,1,0,NYY,2000
53,30,23,1,Tied,1.40,-,0,0.5660377358490566,0,1,NYY,2000
54,31,23,1,Tied,1.35,+,0,0.5740740740740741,1,0,NYY,2000
55,32,23,1,up 1.0,1.39,++,1,0.5818181818181818,2,0,NYY,2000
56,32,24,1,up 0.5,1.43,-,0.5,0.5714285714285714,0,1,NYY,2000
57,33,24,1,up 1.5,1.39,+,1.5,0.5789473684210527,1,0,NYY,2000
58,33,25,1,Tied,1.84,-,0,0.5689655172413793,0,1,NYY,2000
59,34,25,1,up 1.0,1.88,+,1,0.576271186440678,1,0,NYY,2000
60,34,26,1,up 0.5,1.47,-,0.5,0.5666666666666667,0,1,NYY,2000
61,34,27,2,0.5,1.49,--,-0.5,0.5573770491803278,0,2,NYY,2000
62,34,28,2,0.5,1.51,---,-0.5,0.5483870967741935,0,3,NYY,2000
63,34,29,2,0.5,1.43,----,-0.5,0.5396825396825397,0,4,NYY,2000
64,35,29,1,up 0.5,1.75,+,0.5,0.546875,1,0,NYY,2000
65,36,29,1,up 1.5,1.86,++,1.5,0.5538461538461539,2,0,NYY,2000
66,36,30,1,up 0.5,1.89,-,0.5,0.5454545454545454,0,1,NYY,2000
67,36,31,2,0.5,1.85,--,-0.5,0.5373134328358209,0,2,NYY,2000
68,36,32,3,1.0,1.43,---,-1,0.5294117647058824,0,3,NYY,2000
69,37,32,2,1.0,1.36,+,-1,0.5362318840579711,1,0,NYY,2000
70,37,33,2,2.0,1.42,-,-2,0.5285714285714286,0,1,NYY,2000
71,37,34,2,2.0,1.34,--,-2,0.5211267605633803,0,2,NYY,2000
72,37,35,2,3.0,1.34,---,-3,0.5138888888888888,0,3,NYY,2000
73,38,35,2,3.0,1.26,+,-3,0.5205479452054794,1,0,NYY,2000
74,38,36,2,3.0,1.37,-,-3,0.5135135135135135,0,1,NYY,2000
75,39,36,2,2.0,1.30,+,-2,0.52,1,0,NYY,2000
76,40,36,2,1.0,1.49,++,-1,0.5263157894736842,2,0,NYY,2000
77,40,37,2,1.5,1.52,-,-1.5,0.5194805194805194,0,1,NYY,2000
78,41,37,2,0.5,1.54,+,-0.5,0.5256410256410257,1,0,NYY,2000
79,42,37,2,0.5,1.55,++,-0.5,0.5316455696202531,2,0,NYY,2000
80,43,37,1,up 0.5,1.49,+++,0.5,0.5375,3,0,NYY,2000
81,44,37,1,up 1.0,1.61,++++,1,0.5432098765432098,4,0,NYY,2000
82,45,37,1,up 1.0,1.60,+++++,1,0.5487804878048781,5,0,NYY,2000
83,45,38,1,Tied,1.59,-,0,0.54216867469879515,0,1,NYY,2000
84,45,39,1,Tied,1.59,--,0,0.5357142857142857,0,2,NYY,2000
85,46,39,1,Tied,1.55,+,0,0.5411764705882353,1,0,NYY,2000
86,47,39,1,up 0.5,1.59,++,0.5,0.5465116279069767,2,0,NYY,2000
87,47,40,1,up 0.5,1.61,-,0.5,0.5402298850574713,0,1,NYY,2000
88,48,40,1,up 1.0,1.62,+,1,0.5454545454545454,1,0,NYY,2000
89,49,40,1,up 1.5,1.64,++,1.5,0.550561797752809,2,0,NYY,2000
90,49,41,1,up 0.5,1.63,-,0.5,0.5444444444444444,0,1,NYY,2000
91,50,41,1,up 1.5,1.66,+,1.5,0.5494505494505495,1,0,NYY,2000
92,50,42,1,up 1.0,1.65,-,1,0.5434782608695652,0,1,NYY,2000
93,51,42,1,up 1.0,1.64,+,1,0.5483870967741935,1,0,NYY,2000
94,52,42,1,up 2.0,1.74,++,2,0.5531914893617021,2,0,NYY,2000
95,53,42,1,up 3.0,1.71,+++,3,0.5578947368421052,3,0,NYY,2000
96,54,42,1,up 3.0,1.64,++++,3,0.5625,4,0,NYY,2000
97,54,43,1,up 2.0,1.56,-,2,0.5567010309278351,0,1,NYY,2000
98,55,43,1,up 2.5,1.65,+,2.5,0.5612244897959183,1,0,NYY,2000
99,55,44,1,up 2.5,1.63,-,2.5,0.5555555555555556,0,1,NYY,2000
100,56,44,1,up 3.5,1.63,+,3.5,0.56,1,0,NYY,2000
101,57,44,1,up 4.0,1.55,++,4,0.5643564356435643,2,0,NYY,2000
102,57,45,1,up 3.0,1.45,-,3,0.5588235294117647,0,1,NYY,2000
103,58,45,1,up 3.5,1.51,+,3.5,0.5631067961165048,1,0,NYY,2000
104,59,45,1,up 3.5,1.58,++,3.5,0.5673076923076923,2,0,NYY,2000
105,59,46,1,up 3.5,1.61,-,3.5,0.5619047619047619,0,1,NYY,2000
106,59,47,1,up 3.5,1.67,--,3.5,0.5566037735849056,0,2,NYY,2000
107,59,48,1,up 3.5,1.64,---,3.5,0.5514018691588785,0,3,NYY,2000
108,60,48,1,up 4.5,1.75,+,4.5,0.5555555555555556,1,0,NYY,2000
109,61,48,1,up 4.5,1.71,++,4.5,0.5596330275229358,2,0,NYY,2000
110,62,48,1,up 5.0,1.59,+++,5,0.5636363636363636,3,0,NYY,2000
111,62,49,1,up 4.0,1.42,-,4,0.5585585585585585,0,1,NYY,2000
112,62,50,1,up 4.0,1.57,--,4,0.5535714285714286,0,2,NYY,2000
113,63,50,1,up 4.0,1.60,+,4,0.5575221238938053,1,0,NYY,2000
114,64,50,1,up 4.0,1.49,++,4,0.5614035087719298,2,0,NYY,2000
115,65,50,1,up 5.0,1.45,+++,5,0.5652173913043478,3,0,NYY,2000
116,65,51,1,up 4.0,1.16,-,4,0.5603448275862069,0,1,NYY,2000
117,66,51,1,up 4.0,1.49,+,4,0.5641025641025641,1,0,NYY,2000
118,66,52,1,up 3.0,1.45,-,3,0.559322033898305,0,1,NYY,2000
119,67,52,1,up 3.0,1.68,+,3,0.5630252100840336,1,0,NYY,2000
120,67,53,1,up 3.0,1.53,-,3,0.5583333333333333,0,1,NYY,2000
121,68,53,1,up 3.0,1.59,+,3,0.5619834710743802,1,0,NYY,2000
122,68,54,1,up 3.0,1.52,-,3,0.5573770491803278,0,1,NYY,2000
123,69,54,1,up 3.0,1.67,+,3,0.5609756097560976,1,0,NYY,2000
124,70,54,1,up 3.0,1.65,++,3,0.5645161290322581,2,0,NYY,2000
125,70,55,1,up 3.0,1.67,-,3,0.56,0,1,NYY,2000
126,71,55,1,up 3.0,1.74,+,3,0.5634920634920635,1,0,NYY,2000
127,72,55,1,up 4.0,1.65,++,4,0.5669291338582677,2,0,NYY,2000
128,73,55,1,up 5.0,1.30,+++,5,0.5703125,3,0,NYY,2000
129,73,56,1,up 4.0,1.14,-,4,0.5658914728682171,0,1,NYY,2000
130,74,56,1,up 5.0,1.29,+,5,0.5692307692307692,1,0,NYY,2000
131,75,56,1,up 5.0,1.12,++,5,0.5725190839694656,2,0,NYY,2000
132,76,56,1,up 6.0,1.05,+++,6,0.5757575757575758,3,0,NYY,2000
133,76,57,1,up 6.0,.70,-,6,0.5714285714285714,0,1,NYY,2000
134,77,57,1,up 6.0,.75,+,6,0.5746268656716418,1,0,NYY,2000
135,78,57,1,up 6.0,.60,++,6,0.5777777777777777,2,0,NYY,2000
136,78,58,1,up 6.0,.48,-,6,0.5735294117647058,0,1,NYY,2000
137,79,58,1,up 6.0,.59,+,6,0.5766423357664233,1,0,NYY,2000
138,80,58,1,up 7.0,.58,++,7,0.5797101449275363,2,0,NYY,2000
139,81,58,1,up 8.0,.28,+++,8,0.5827338129496403,3,0,NYY,2000
140,82,58,1,up 8.5,.15,++++,8.5,0.5857142857142857,4,0,NYY,2000
141,82,59,1,up 8.0,.09,-,8,0.5815602836879432,0,1,NYY,2000
142,83,59,1,up 8.0,.19,+,8,0.5845070422535211,1,0,NYY,2000
143,84,59,1,up 9.0,.07,++,9,0.5874125874125874,2,0,NYY,2000
144,84,60,1,up 8.0,.02,-,8,0.5833333333333334,0,1,NYY,2000
145,84,61,1,up 7.0,.05,--,7,0.5793103448275863,0,2,NYY,2000
146,85,61,1,up 7.5,.11,+,7.5,0.5821917808219178,1,0,NYY,2000
147,85,62,1,up 7.5,.04,-,7.5,0.5782312925170068,0,1,NYY,2000
148,85,63,1,up 7.0,.07,--,7,0.5743243243243243,0,2,NYY,2000
149,85,64,1,up 6.0,.12,---,6,0.5704697986577181,0,3,NYY,2000
150,85,65,1,up 5.5,.22,----,5.5,0.5666666666666667,0,4,NYY,2000
151,85,66,1,up 4.5,.32,-----,4.5,0.5629139072847682,0,5,NYY,2000
152,85,67,1,up 4.5,.45,------,4.5,0.5592105263157895,0,6,NYY,2000
153,86,67,1,up 4.5,.39,+,4.5,0.5620915032679739,1,0,NYY,2000
154,87,67,1,up 5.5,.29,++,5.5,0.564935064935065,2,0,NYY,2000
155,87,68,1,up 5.5,.03,-,5.5,0.5612903225806452,0,1,NYY,2000
156,87,69,1,up 5.5,.01,--,5.5,0.5576923076923077,0,2,NYY,2000
157,87,70,1,up 4.5,.00,---,4.5,0.554140127388535,0,3,NYY,2000
158,87,71,1,up 3.5,.00,----,3.5,0.5506329113924051,0,4,NYY,2000
159,87,72,1,up 3.5,.00,-----,3.5,0.5471698113207547,0,5,NYY,2000
160,87,73,1,up 2.5,.00,------,2.5,0.54375,0,6,NYY,2000
161,87,74,1,up 2.5,.00,-------,2.5,0.5403726708074534,0,7,NYY,2000
1,1,0,1,Tied,1.01,+,0,1,1,0,NYY,2001
2,2,0,1,up 0.5,1.07,++,0.5,1,2,0,NYY,2001
3,3,0,1,up 0.5,1.04,+++,0.5,1,3,0,NYY,2001
4,3,1,2,0.5,1.22,-,-0.5,0.75,0,1,NYY,2001
5,3,2,2,1.5,1.20,--,-1.5,0.6,0,2,NYY,2001
6,4,2,2,0.5,1.17,+,-0.5,0.6666666666666666,1,0,NYY,2001
7,5,2,2,0.5,1.06,++,-0.5,0.7142857142857143,2,0,NYY,2001
8,6,2,2,0.5,1.11,+++,-0.5,0.75,3,0,NYY,2001
9,7,2,1,up 0.5,1.11,++++,0.5,0.7777777777777778,4,0,NYY,2001
10,7,3,2,0.5,1.31,-,-0.5,0.7,0,1,NYY,2001
11,8,3,2,0.5,1.30,+,-0.5,0.7272727272727273,1,0,NYY,2001
12,8,4,2,0.5,1.32,-,-0.5,0.6666666666666666,0,1,NYY,2001
13,8,5,3,1.0,1.36,--,-1,0.6153846153846154,0,2,NYY,2001
14,8,6,3,2.0,1.24,---,-2,0.5714285714285714,0,3,NYY,2001
15,8,7,3,3.0,1.27,----,-3,0.5333333333333333,0,4,NYY,2001
16,9,7,3,3.0,1.22,+,-3,0.5625,1,0,NYY,2001
17,10,7,3,2.0,1.28,++,-2,0.5882352941176471,2,0,NYY,2001
18,10,8,3,3.0,1.31,-,-3,0.5555555555555556,0,1,NYY,2001
19,11,8,3,2.0,1.25,+,-2,0.5789473684210527,1,0,NYY,2001
20,11,9,3,3.0,1.11,-,-3,0.55,0,1,NYY,2001
21,11,10,3,3.0,1.06,--,-3,0.5238095238095238,0,2,NYY,2001
22,11,11,3,4.0,1.02,---,-4,0.5,0,3,NYY,2001
23,12,11,3,4.0,.93,+,-4,0.5217391304347826,1,0,NYY,2001
24,13,11,3,3.0,1.00,++,-3,0.5416666666666666,2,0,NYY,2001
25,14,11,3,2.5,1.08,+++,-2.5,0.56,3,0,NYY,2001
26,14,12,3,2.5,1.16,-,-2.5,0.5384615384615384,0,1,NYY,2001
27,15,12,3,2.5,1.14,+,-2.5,0.5555555555555556,1,0,NYY,2001
28,15,13,3,2.5,1.15,-,-2.5,0.5357142857142857,0,1,NYY,2001
29,16,13,3,1.5,1.16,+,-1.5,0.5517241379310345,1,0,NYY,2001
30,17,13,3,1.5,1.25,++,-1.5,0.5666666666666667,2,0,NYY,2001
31,18,13,3,0.5,1.28,+++,-0.5,0.5806451612903226,3,0,NYY,2001
32,19,13,3,0.5,1.32,++++,-0.5,0.59375,4,0,NYY,2001
33,19,14,3,1.5,1.32,-,-1.5,0.5757575757575758,0,1,NYY,2001
34,20,14,2,0.5,1.28,+,-0.5,0.5882352941176471,1,0,NYY,2001
35,20,15,2,0.5,1.38,-,-0.5,0.5714285714285714,0,1,NYY,2001
36,21,15,1,up 0.5,1.33,+,0.5,0.5833333333333334,1,0,NYY,2001
37,22,15,1,up 0.5,1.37,++,0.5,0.5945945945945946,2,0,NYY,2001
38,22,16,2,0.5,1.37,-,-0.5,0.5789473684210527,0,1,NYY,2001
39,22,17,2,1.5,1.30,--,-1.5,0.5641025641025641,0,2,NYY,2001
40,22,18,2,1.5,1.25,---,-1.5,0.55,0,3,NYY,2001
41,22,19,2,1.5,1.28,----,-1.5,0.5365853658536586,0,4,NYY,2001
42,23,19,2,1.5,1.20,+,-1.5,0.5476190476190477,1,0,NYY,2001
43,24,19,2,0.5,1.21,++,-0.5,0.5581395348837209,2,0,NYY,2001
44,24,20,2,1.5,1.25,-,-1.5,0.5454545454545454,0,1,NYY,2001
45,25,20,2,0.5,1.52,+,-0.5,0.5555555555555556,1,0,NYY,2001
46,26,20,1,up 0.5,1.59,++,0.5,0.5652173913043478,2,0,NYY,2001
47,26,21,2,0.5,1.42,-,-0.5,0.5531914893617021,0,1,NYY,2001
48,27,21,1,up 0.5,1.36,+,0.5,0.5625,1,0,NYY,2001
49,28,21,1,up 0.5,1.39,++,0.5,0.5714285714285714,2,0,NYY,2001
50,29,21,1,up 1.5,1.68,+++,1.5,0.58,3,0,NYY,2001
51,29,22,1,up 0.5,1.69,-,0.5,0.5686274509803921,0,1,NYY,2001
52,29,23,2,1.0,1.50,--,-1,0.5576923076923077,0,2,NYY,2001
53,30,23,2,1.0,1.47,+,-1,0.5660377358490566,1,0,NYY,2001
54,30,24,2,2.0,1.51,-,-2,0.5555555555555556,0,1,NYY,2001
55,31,24,2,1.0,1.78,+,-1,0.5636363636363636,1,0,NYY,2001
56,31,25,2,2.0,1.53,-,-2,0.5535714285714286,0,1,NYY,2001
57,32,25,2,1.0,1.52,+,-1,0.5614035087719298,1,0,NYY,2001
58,33,25,2,1.0,1.52,++,-1,0.5689655172413793,2,0,NYY,2001
59,34,25,2,1.0,1.35,+++,-1,0.576271186440678,3,0,NYY,2001
60,34,26,2,1.0,1.35,-,-1,0.5666666666666667,0,1,NYY,2001
61,34,27,2,2.0,1.39,--,-2,0.5573770491803278,0,2,NYY,2001
62,34,28,2,3.0,1.34,---,-3,0.5483870967741935,0,3,NYY,2001
63,35,28,2,2.0,1.31,+,-2,0.5555555555555556,1,0,NYY,2001
64,36,28,2,2.0,1.35,++,-2,0.5625,2,0,NYY,2001
65,37,28,2,2.0,1.41,+++,-2,0.5692307692307692,3,0,NYY,2001
66,38,28,2,1.0,1.45,++++,-1,0.5757575757575758,4,0,NYY,2001
67,38,29,2,2.0,1.43,-,-2,0.5671641791044776,0,1,NYY,2001
68,39,29,2,1.5,1.47,+,-1.5,0.5735294117647058,1,0,NYY,2001
69,39,30,2,2.5,1.50,-,-2.5,0.5652173913043478,0,1,NYY,2001
70,39,31,2,3.5,1.52,--,-3.5,0.5571428571428572,0,2,NYY,2001
71,40,31,2,3.0,1.49,+,-3,0.5633802816901409,1,0,NYY,2001
72,41,31,2,2.0,1.50,++,-2,0.5694444444444444,2,0,NYY,2001
73,41,32,2,2.0,1.49,-,-2,0.5616438356164384,0,1,NYY,2001
74,42,32,2,2.0,1.67,+,-2,0.5675675675675675,1,0,NYY,2001
75,42,33,2,3.0,1.74,-,-3,0.56,0,1,NYY,2001
76,43,33,2,2.0,1.73,+,-2,0.5657894736842105,1,0,NYY,2001
77,44,33,2,0.5,1.54,++,-0.5,0.5714285714285714,2,0,NYY,2001
78,45,33,2,0.5,1.49,+++,-0.5,0.5769230769230769,3,0,NYY,2001
79,46,33,2,0.5,1.52,++++,-0.5,0.5822784810126582,4,0,NYY,2001
80,47,33,2,0.5,1.46,+++++,-0.5,0.5875,5,0,NYY,2001
81,48,33,1,up 0.5,1.64,++++++,0.5,0.5925925925925926,6,0,NYY,2001
82,49,33,1,up 0.5,1.50,+++++++,0.5,0.5975609756097561,7,0,NYY,2001
83,50,33,1,up 0.5,1.44,++++++++,0.5,0.6024096385542169,8,0,NYY,2001
84,51,33,1,up 1.5,1.24,+++++++++,1.5,0.6071428571428571,9,0,NYY,2001
85,51,34,1,up 0.5,1.22,-,0.5,0.6,0,1,NYY,2001
86,52,34,1,up 1.5,1.36,+,1.5,0.6046511627906976,1,0,NYY,2001
87,52,35,1,up 1.5,1.25,-,1.5,0.5977011494252874,0,1,NYY,2001
88,52,36,1,up 0.5,1.34,--,0.5,0.5909090909090909,0,2,NYY,2001
89,53,36,1,up 1.5,1.49,+,1.5,0.5955056179775281,1,0,NYY,2001
90,53,37,1,up 0.5,1.37,-,0.5,0.5888888888888889,0,1,NYY,2001
91,54,37,1,up 0.5,1.46,+,0.5,0.5934065934065934,1,0,NYY,2001
92,55,37,1,up 1.5,1.42,++,1.5,0.5978260869565217,2,0,NYY,2001
93,56,37,1,up 1.0,1.23,+++,1,0.6021505376344086,3,0,NYY,2001
94,56,38,1,up 1.0,1.20,-,1,0.5957446808510638,0,1,NYY,2001
95,56,39,1,up 1.0,1.33,--,1,0.5894736842105263,0,2,NYY,2001
96,56,40,1,Tied,1.50,---,0,0.5833333333333334,0,3,NYY,2001
97,56,41,1,Tied,1.61,----,0,0.5773195876288659,0,4,NYY,2001
98,57,41,1,up 1.0,1.71,+,1,0.5816326530612245,1,0,NYY,2001
99,58,41,1,up 1.5,1.61,++,1.5,0.5858585858585859,2,0,NYY,2001
100,59,41,1,up 1.5,1.46,+++,1.5,0.59,3,0,NYY,2001
101,60,41,1,up 2.5,1.42,++++,2.5,0.594059405940594,4,0,NYY,2001
102,61,41,1,up 2.5,1.28,+++++,2.5,0.5980392156862745,5,0,NYY,2001
103,62,41,1,up 2.5,1.22,++++++,2.5,0.6019417475728155,6,0,NYY,2001
104,63,41,1,up 3.5,1.11,+++++++,3.5,0.6057692307692307,7,0,NYY,2001
105,64,41,1,up 3.5,.92,++++++++,3.5,0.6095238095238096,8,0,NYY,2001
106,64,42,1,up 3.5,.82,-,3.5,0.6037735849056604,0,1,NYY,2001
107,65,42,1,up 4.5,.89,+,4.5,0.6074766355140186,1,0,NYY,2001
108,65,43,1,up 4.5,.75,-,4.5,0.6018518518518519,0,1,NYY,2001
109,66,43,1,up 5.0,.91,+,5,0.6055045871559633,1,0,NYY,2001
110,67,43,1,up 4.5,.79,++,4.5,0.6090909090909091,2,0,NYY,2001
111,67,44,1,up 3.5,.77,-,3.5,0.6036036036036037,0,1,NYY,2001
112,67,45,1,up 2.5,1.00,--,2.5,0.5982142857142857,0,2,NYY,2001
113,67,46,1,up 2.5,1.13,---,2.5,0.5929203539823009,0,3,NYY,2001
114,68,46,1,up 3.5,1.23,+,3.5,0.5964912280701754,1,0,NYY,2001
115,69,46,1,up 4.5,1.07,++,4.5,0.6,2,0,NYY,2001
116,69,47,1,up 4.0,1.18,-,4,0.5948275862068966,0,1,NYY,2001
117,69,48,1,up 4.0,1.37,--,4,0.5897435897435898,0,2,NYY,2001
118,69,49,1,up 3.0,1.44,---,3,0.5847457627118644,0,3,NYY,2001
119,70,49,1,up 4.0,1.34,+,4,0.5882352941176471,1,0,NYY,2001
120,71,49,1,up 5.0,1.09,++,5,0.5916666666666667,2,0,NYY,2001
121,72,49,1,up 5.0,.91,+++,5,0.5950413223140496,3,0,NYY,2001
122,73,49,1,up 6.0,.89,++++,6,0.5983606557377049,4,0,NYY,2001
123,73,50,1,up 5.0,.72,-,5,0.5934959349593496,0,1,NYY,2001
124,73,51,1,up 5.0,.96,--,5,0.5887096774193549,0,2,NYY,2001
125,74,51,1,up 5.0,1.01,+,5,0.592,1,0,NYY,2001
126,74,52,1,up 4.0,.98,-,4,0.5873015873015873,0,1,NYY,2001
127,74,53,1,up 4.0,1.21,--,4,0.5826771653543307,0,2,NYY,2001
128,75,53,1,up 4.0,1.19,+,4,0.5859375,1,0,NYY,2001
129,75,54,1,up 3.0,1.15,-,3,0.5813953488372093,0,1,NYY,2001
130,76,54,1,up 4.0,1.43,+,4,0.5846153846153846,1,0,NYY,2001
131,76,55,1,up 4.0,1.16,-,4,0.5801526717557252,0,1,NYY,2001
132,77,55,1,up 5.0,1.21,+,5,0.5833333333333334,1,0,NYY,2001
133,77,56,1,up 5.0,.98,-,5,0.5789473684210527,0,1,NYY,2001
134,78,56,1,up 6.0,1.01,+,6,0.582089552238806,1,0,NYY,2001
135,79,56,1,up 7.0,1.33,++,7,0.5851851851851851,2,0,NYY,2001
136,80,56,1,up 8.0,.85,+++,8,0.5882352941176471,3,0,NYY,2001
137,81,56,1,up 9.0,.45,++++,9,0.5912408759124088,4,0,NYY,2001
138,82,56,1,up 9.5,.13,+++++,9.5,0.5942028985507246,5,0,NYY,2001
139,82,57,1,up 9.5,.09,-,9.5,0.5899280575539568,0,1,NYY,2001
140,83,57,1,up 9.5,.08,+,9.5,0.5928571428571429,1,0,NYY,2001
141,84,57,1,up11.0,.06,++,11,0.5957446808510638,2,0,NYY,2001
142,85,57,1,up12.0,.01,+++,12,0.5985915492957746,3,0,NYY,2001
143,86,57,1,up13.0,.00,++++,13,0.6013986013986014,4,0,NYY,2001
144,87,57,1,up13.0,.00,+++++,13,0.6041666666666666,5,0,NYY,2001
145,88,57,1,up14.0,.00,++++++,14,0.6068965517241379,6,0,NYY,2001
146,88,58,1,up13.0,.00,-,13,0.6027397260273972,0,1,NYY,2001
147,88,59,1,up12.0,.00,--,12,0.5986394557823129,0,2,NYY,2001
148,88,60,1,up12.0,.00,---,12,0.5945945945945946,0,3,NYY,2001
149,89,60,1,up13.0,.00,+,13,0.5973154362416108,1,0,NYY,2001
150,89,61,1,up13.5,.00,-,13.5,0.5933333333333334,0,1,NYY,2001
151,90,61,1,up13.5,.00,+,13.5,0.5960264900662252,1,0,NYY,2001
152,91,61,1,up15.0,.00,++,15,0.5986842105263158,2,0,NYY,2001
153,91,62,1,up15.0,.00,-,15,0.5947712418300654,0,1,NYY,2001
154,91,62,1,up14.5,.00,-,14.5,0.5947712418300654,0,1,NYY,2001
155,92,62,1,up15.5,.00,+,15.5,0.5974025974025974,1,0,NYY,2001
156,93,62,1,up16.5,.00,++,16.5,0.6,2,0,NYY,2001
157,94,62,1,up16.5,.00,+++,16.5,0.6025641025641025,3,0,NYY,2001
158,94,63,1,up15.5,.00,-,15.5,0.5987261146496815,0,1,NYY,2001
159,94,64,1,up14.0,.00,--,14,0.5949367088607594,0,2,NYY,2001
160,94,65,1,up13.0,.00,---,13,0.5911949685534591,0,3,NYY,2001
161,95,65,1,up13.5,.00,+,13.5,0.59375,1,0,NYY,2001
1,0,1,4,1.0,1.11,-,-1,0,0,1,NYY,2002
2,1,1,3,1.0,1.06,+,-1,0.5,1,0,NYY,2002
3,2,1,3,1.0,1.12,++,-1,0.6666666666666666,2,0,NYY,2002
4,3,1,1,Tied,1.11,+++,0,0.75,3,0,NYY,2002
5,4,1,1,up 1.0,1.21,++++,1,0.8,4,0,NYY,2002
6,5,1,1,up 1.0,1.25,+++++,1,0.8333333333333334,5,0,NYY,2002
7,6,1,1,up 1.5,1.29,++++++,1.5,0.8571428571428571,6,0,NYY,2002
8,7,1,1,up 1.5,1.27,+++++++,1.5,0.875,7,0,NYY,2002
9,7,2,1,up 1.5,1.30,-,1.5,0.7777777777777778,0,1,NYY,2002
10,7,3,1,up 1.5,1.32,--,1.5,0.7,0,2,NYY,2002
11,7,4,1,up 0.5,1.32,---,0.5,0.6363636363636364,0,3,NYY,2002
12,7,5,2,0.5,1.33,----,-0.5,0.5833333333333334,0,4,NYY,2002
