gm_number,season,team,date,month,day,weekday,start_time,day_night,weekend,attendance,away_home
1,2000,SEA,2000-04-04,4,4,Tuesday,2:40,N,0,45552,home
2,2000,SEA,2000-04-05,4,5,Wednesday,3:11,N,0,29242,home
3,2000,SEA,2000-04-06,4,6,Thursday,3:06,N,0,25121,home
4,2000,SEA,2000-04-07,4,7,Friday,3:09,N,0,40827,home
5,2000,SEA,2000-04-08,4,8,Saturday,3:35,D,0,45261,home
6,2000,SEA,2000-04-09,4,9,Sunday,2:40,D,0,45488,home
7,2000,SEA,2000-04-11,4,11,Tuesday,3:12,D,0,39168,away
8,2000,SEA,2000-04-12,4,12,Wednesday,2:24,N,0,21405,away
9,2000,SEA,2000-04-13,4,13,Thursday,2:58,N,0,20781,away
10,2000,SEA,2000-04-14,4,14,Friday,3:06,N,0,17306,away
11,2000,SEA,2000-04-15,4,15,Saturday,3:22,D,0,21754,away
12,2000,SEA,2000-04-16,4,16,Sunday,3:24,D,0,15325,away
13,2000,SEA,2000-04-18,4,18,Tuesday,3:32,N,0,9898,away
14,2000,SEA,2000-04-19,4,19,Wednesday,2:57,D,0,8425,away
15,2000,SEA,2000-04-21,4,21,Friday,3:22,N,0,37034,home
16,2000,SEA,2000-04-22,4,22,Saturday,2:33,D,0,38200,home
17,2000,SEA,2000-04-23,4,23,Sunday,3:13,D,0,29701,home
18,2000,SEA,2000-04-24,4,24,Monday,2:42,N,0,30354,home
19,2000,SEA,2000-04-25,4,25,Tuesday,3:16,N,0,27579,home
20,2000,SEA,2000-04-26,4,26,Wednesday,3:30,D,0,37086,home
21,2000,SEA,2000-04-28,4,28,Friday,3:24,N,0,36317,away
22,2000,SEA,2000-04-29,4,29,Saturday,2:55,N,0,26879,away
23,2000,SEA,2000-04-30,4,30,Sunday,2:30,D,0,23568,away
24,2000,SEA,2000-05-02,5,2,Tuesday,3:25,N,0,6780,away
25,2000,SEA,2000-05-03,5,3,Wednesday,3:01,N,0,6596,away
26,2000,SEA,2000-05-05,5,5,Friday,2:59,N,0,38307,home
27,2000,SEA,2000-05-06,5,6,Saturday,2:50,D,0,43427,home
28,2000,SEA,2000-05-07,5,7,Sunday,3:11,D,0,42940,home
29,2000,SEA,2000-05-08,5,8,Monday,2:37,N,0,29930,away
30,2000,SEA,2000-05-09,5,9,Tuesday,3:04,N,0,28850,away
31,2000,SEA,2000-05-10,5,10,Wednesday,3:05,D,0,27337,away
32,2000,SEA,2000-05-11,5,11,Thursday,3:07,N,0,8364,away
33,2000,SEA,2000-05-12,5,12,Friday,3:31,N,0,14791,away
34,2000,SEA,2000-05-13,5,13,Saturday,3:15,D,0,25565,away
35,2000,SEA,2000-05-14,5,14,Sunday,2:58,D,0,15163,away
36,2000,SEA,2000-05-15,5,15,Monday,2:46,N,0,30289,home
37,2000,SEA,2000-05-16,5,16,Tuesday,3:04,N,0,25672,home
38,2000,SEA,2000-05-17,5,17,Wednesday,2:13,N,0,25583,home
39,2000,SEA,2000-05-19,5,19,Friday,3:26,N,0,34067,home
40,2000,SEA,2000-05-20,5,20,Saturday,3:26,D,0,40665,home
41,2000,SEA,2000-05-21,5,21,Sunday,3:09,D,0,45264,home
42,2000,SEA,2000-05-23,5,23,Tuesday,2:38,N,0,37747,away
43,2000,SEA,2000-05-24,5,24,Wednesday,2:48,N,0,37262,away
44,2000,SEA,2000-05-25,5,25,Thursday,3:02,N,0,34764,away
45,2000,SEA,2000-05-26,5,26,Friday,3:20,N,0,14627,away
46,2000,SEA,2000-05-27,5,27,Saturday,2:53,D,0,24373,away
47,2000,SEA,2000-05-28,5,28,Sunday,3:16,D,0,16194,away
48,2000,SEA,2000-05-29,5,29,Monday,3:05,N,0,34429,home
49,2000,SEA,2000-05-30,5,30,Tuesday,2:26,N,0,25788,home
50,2000,SEA,2000-05-31,5,31,Wednesday,3:11,D,0,35823,home
51,2000,SEA,2000-06-02,6,2,Friday,2:54,N,0,33995,home
52,2000,SEA,2000-06-03,6,3,Saturday,2:57,N,0,44183,home
53,2000,SEA,2000-06-04,6,4,Sunday,3:11,D,0,42018,home
54,2000,SEA,2000-06-05,6,5,Monday,2:57,N,0,25582,home
55,2000,SEA,2000-06-06,6,6,Tuesday,3:00,N,0,26812,home
56,2000,SEA,2000-06-07,6,7,Wednesday,3:11,N,0,27050,home
57,2000,SEA,2000-06-09,6,9,Friday,3:04,N,0,40930,away
58,2000,SEA,2000-06-10,6,10,Saturday,3:09,D,0,40930,away
59,2000,SEA,2000-06-11,6,11,Sunday,3:17,D,0,40930,away
60,2000,SEA,2000-06-12,6,12,Monday,2:56,N,0,18435,away
61,2000,SEA,2000-06-13,6,13,Tuesday,1:38,N,0,14428,away
62,2000,SEA,2000-06-14,6,14,Wednesday,3:35,D,0,27028,away
63,2000,SEA,2000-06-15,6,15,Thursday,3:23,N,0,9145,away
64,2000,SEA,2000-06-16,6,16,Friday,2:44,N,0,9636,away
65,2000,SEA,2000-06-17,6,17,Saturday,3:08,N,0,19404,away
66,2000,SEA,2000-06-18,6,18,Sunday,3:05,D,0,11435,away
67,2000,SEA,2000-06-19,6,19,Monday,3:13,N,0,38331,home
68,2000,SEA,2000-06-20,6,20,Tuesday,2:46,N,0,29349,home
69,2000,SEA,2000-06-21,6,21,Wednesday,3:19,N,0,27555,home
70,2000,SEA,2000-06-22,6,22,Thursday,3:21,N,0,31688,home
71,2000,SEA,2000-06-23,6,23,Friday,2:59,N,0,40383,home
72,2000,SEA,2000-06-24,6,24,Saturday,2:37,D,0,45142,home
73,2000,SEA,2000-06-25,6,25,Sunday,2:45,D,0,45030,home
74,2000,SEA,2000-06-27,6,27,Tuesday,3:13,N,0,32051,home
75,2000,SEA,2000-06-28,6,28,Wednesday,3:13,N,0,32581,home
76,2000,SEA,2000-06-29,6,29,Thursday,3:02,D,0,44387,home
77,2000,SEA,2000-06-30,6,30,Friday,3:00,N,0,31674,away
78,2000,SEA,2000-07-01,7,1,Saturday,3:41,N,0,33676,away
79,2000,SEA,2000-07-02,7,2,Sunday,3:07,N,0,40478,away
80,2000,SEA,2000-07-03,7,3,Monday,3:54,N,0,20919,away
81,2000,SEA,2000-07-04,7,4,Tuesday,3:15,N,0,43487,away
82,2000,SEA,2000-07-05,7,5,Wednesday,3:15,N,0,17369,away
83,2000,SEA,2000-07-06,7,6,Thursday,2:58,N,0,18790,away
84,2000,SEA,2000-07-07,7,7,Friday,4:27,N,0,45206,home
85,2000,SEA,2000-07-08,7,8,Saturday,2:36,N,0,45248,home
86,2000,SEA,2000-07-09,7,9,Sunday,2:37,D,0,45251,home
87,2000,SEA,2000-07-13,7,13,Thursday,3:02,D,0,21012,away
88,2000,SEA,2000-07-14,7,14,Friday,2:58,N,0,26498,away
89,2000,SEA,2000-07-15,7,15,Saturday,2:18,N,0,43532,away
90,2000,SEA,2000-07-16,7,16,Sunday,3:15,D,0,34144,away
91,2000,SEA,2000-07-17,7,17,Monday,2:40,N,0,35504,away
92,2000,SEA,2000-07-18,7,18,Tuesday,2:51,N,0,32090,away
93,2000,SEA,2000-07-19,7,19,Wednesday,3:10,N,0,31466,away
94,2000,SEA,2000-07-20,7,20,Thursday,3:03,D,0,25654,away
95,2000,SEA,2000-07-21,7,21,Friday,2:59,N,0,44765,home
96,2000,SEA,2000-07-22,7,22,Saturday,2:55,N,0,44381,home
97,2000,SEA,2000-07-23,7,23,Sunday,3:11,D,0,45319,home
98,2000,SEA,2000-07-24,7,24,Monday,3:31,N,0,44880,home
99,2000,SEA,2000-07-25,7,25,Tuesday,3:41,N,0,42377,home
100,2000,SEA,2000-07-26,7,26,Wednesday,3:00,N,0,45379,home
101,2000,SEA,2000-07-27,7,27,Thursday,3:26,N,0,40398,home
102,2000,SEA,2000-07-28,7,28,Friday,3:11,N,0,37126,home
103,2000,SEA,2000-07-29,7,29,Saturday,5:04,D,0,45264,home
104,2000,SEA,2000-07-30,7,30,Sunday,3:18,D,0,43648,home
105,2000,SEA,2000-07-31,7,31,Monday,3:24,N,0,36993,home
106,2000,SEA,2000-08-01,8,1,Tuesday,5:34,N,0,37391,home
107,2000,SEA,2000-08-02,8,2,Wednesday,2:37,N,0,45121,home
108,2000,SEA,2000-08-04,8,4,Friday,3:35,N,0,46592,away
109,2000,SEA,2000-08-05,8,5,Saturday,3:13,D,0,55629,away
110,2000,SEA,2000-08-06,8,6,Sunday,3:10,D,0,52720,away
111,2000,SEA,2000-08-07,8,7,Monday,3:35,D,0,38421,away
112,2000,SEA,2000-08-08,8,8,Tuesday,3:11,D,0,NA,away
113,2000,SEA,2000-08-08,8,8,Tuesday,3:43,N,0,23647,away
114,2000,SEA,2000-08-09,8,9,Wednesday,3:10,N,0,24947,away
115,2000,SEA,2000-08-10,8,10,Thursday,2:41,D,0,23924,away
116,2000,SEA,2000-08-11,8,11,Friday,2:54,N,0,45335,home
117,2000,SEA,2000-08-12,8,12,Saturday,3:30,D,0,45356,home
118,2000,SEA,2000-08-13,8,13,Sunday,3:23,D,0,45380,home
119,2000,SEA,2000-08-14,8,14,Monday,3:06,N,0,44941,home
120,2000,SEA,2000-08-15,8,15,Tuesday,2:33,N,0,38674,home
121,2000,SEA,2000-08-16,8,16,Wednesday,3:33,D,0,42429,home
122,2000,SEA,2000-08-18,8,18,Friday,3:53,N,0,43126,away
123,2000,SEA,2000-08-19,8,19,Saturday,3:09,D,0,43187,away
124,2000,SEA,2000-08-20,8,20,Sunday,3:17,D,0,43144,away
125,2000,SEA,2000-08-22,8,22,Tuesday,3:23,N,0,30991,away
126,2000,SEA,2000-08-23,8,23,Wednesday,3:07,N,0,32356,away
127,2000,SEA,2000-08-24,8,24,Thursday,3:29,D,0,36885,away
128,2000,SEA,2000-08-25,8,25,Friday,3:08,N,0,44745,home
129,2000,SEA,2000-08-26,8,26,Saturday,3:36,N,0,45191,home
130,2000,SEA,2000-08-27,8,27,Sunday,2:44,D,0,45525,home
131,2000,SEA,2000-08-28,8,28,Monday,3:12,N,0,45077,home
132,2000,SEA,2000-08-29,8,29,Tuesday,2:46,N,0,44105,home
133,2000,SEA,2000-08-30,8,30,Wednesday,4:08,N,0,44962,home
134,2000,SEA,2000-09-01,9,1,Friday,2:49,N,0,33021,away
135,2000,SEA,2000-09-02,9,2,Saturday,3:13,D,0,31830,away
136,2000,SEA,2000-09-03,9,3,Sunday,2:51,D,0,32668,away
137,2000,SEA,2000-09-04,9,4,Monday,2:36,D,0,32619,away
138,2000,SEA,2000-09-05,9,5,Tuesday,2:52,N,0,21128,away
139,2000,SEA,2000-09-06,9,6,Wednesday,2:33,N,0,17055,away
140,2000,SEA,2000-09-07,9,7,Thursday,3:08,N,0,17571,away
141,2000,SEA,2000-09-08,9,8,Friday,2:47,N,0,32081,home
142,2000,SEA,2000-09-09,9,9,Saturday,2:45,N,0,43249,home
143,2000,SEA,2000-09-10,9,10,Sunday,2:46,D,0,39844,home
144,2000,SEA,2000-09-11,9,11,Monday,3:25,N,0,33366,home
145,2000,SEA,2000-09-12,9,12,Tuesday,3:08,N,0,36520,home
146,2000,SEA,2000-09-13,9,13,Wednesday,3:55,N,0,31385,home
147,2000,SEA,2000-09-15,9,15,Friday,3:23,N,0,38510,away
148,2000,SEA,2000-09-16,9,16,Saturday,2:59,N,0,44619,away
149,2000,SEA,2000-09-17,9,17,Sunday,2:46,D,0,40440,away
150,2000,SEA,2000-09-18,9,18,Monday,2:44,N,0,13129,away
151,2000,SEA,2000-09-19,9,19,Tuesday,2:58,N,0,16726,away
152,2000,SEA,2000-09-20,9,20,Wednesday,2:47,N,0,17192,away
153,2000,SEA,2000-09-21,9,21,Thursday,3:14,N,0,44786,home
154,2000,SEA,2000-09-22,9,22,Friday,3:28,N,0,45408,home
155,2000,SEA,2000-09-23,9,23,Saturday,3:20,N,0,45406,home
156,2000,SEA,2000-09-24,9,24,Sunday,3:03,D,0,45405,home
157,2000,SEA,2000-09-26,9,26,Tuesday,2:38,N,0,31399,home
158,2000,SEA,2000-09-27,9,27,Wednesday,3:36,N,0,35901,home
159,2000,SEA,2000-09-28,9,28,Thursday,3:25,D,0,43264,home
160,2000,SEA,2000-09-29,9,29,Friday,2:45,N,0,33424,away
161,2000,SEA,2000-09-30,9,30,Saturday,4:02,N,0,35238,away
162,2000,SEA,2000-01-01,10,1,Sunday,3:10,D,0,30473,away
1,2001,SEA,2001-04-02,4,2,Monday,3:23,N,0,45911,home
2,2001,SEA,2001-04-03,4,3,Tuesday,2:57,N,0,27212,home
3,2001,SEA,2001-04-04,4,4,Wednesday,3:07,D,0,31382,home
4,2001,SEA,2001-04-06,4,6,Friday,3:43,N,0,34684,away
5,2001,SEA,2001-04-07,4,7,Saturday,3:27,N,0,41651,away
6,2001,SEA,2001-04-08,4,8,Sunday,3:18,D,0,44306,away
7,2001,SEA,2001-04-10,4,10,Tuesday,3:22,N,0,14880,away
8,2001,SEA,2001-04-11,4,11,Wednesday,2:29,N,0,16652,away
9,2001,SEA,2001-04-12,4,12,Thursday,2:57,D,0,15414,away
10,2001,SEA,2001-04-13,4,13,Friday,2:31,N,0,31087,away
11,2001,SEA,2001-04-14,4,14,Saturday,2:52,N,0,34780,away
12,2001,SEA,2001-04-15,4,15,Sunday,2:55,D,0,20733,away
13,2001,SEA,2001-04-16,4,16,Monday,3:21,N,0,45657,home
14,2001,SEA,2001-04-17,4,17,Tuesday,2:57,N,0,34536,home
15,2001,SEA,2001-04-18,4,18,Wednesday,3:34,N,0,48823,home
16,2001,SEA,2001-04-19,4,19,Thursday,2:40,N,0,25016,home
17,2001,SEA,2001-04-20,4,20,Friday,2:23,N,0,38518,home
18,2001,SEA,2001-04-21,4,21,Saturday,3:11,D,0,39274,home
19,2001,SEA,2001-04-22,4,22,Sunday,2:56,D,0,44192,home
20,2001,SEA,2001-04-24,4,24,Tuesday,2:50,N,0,29522,away
21,2001,SEA,2001-04-25,4,25,Wednesday,3:35,N,0,23684,away
22,2001,SEA,2001-04-26,4,26,Thursday,3:39,N,0,30218,away
23,2001,SEA,2001-04-27,4,27,Friday,3:22,N,0,16276,away
24,2001,SEA,2001-04-28,4,28,Saturday,3:38,N,0,25542,away
25,2001,SEA,2001-04-29,4,29,Sunday,4:03,D,0,25442,away
26,2001,SEA,2001-05-01,5,1,Tuesday,2:43,N,0,36642,home
27,2001,SEA,2001-05-02,5,2,Wednesday,2:45,N,0,40170,home
28,2001,SEA,2001-05-03,5,3,Thursday,3:02,N,0,32513,home
29,2001,SEA,2001-05-04,5,4,Friday,3:08,N,0,42284,home
30,2001,SEA,2001-05-05,5,5,Saturday,3:13,D,0,42894,home
31,2001,SEA,2001-05-06,5,6,Sunday,2:43,D,0,45080,home
32,2001,SEA,2001-05-08,5,8,Tuesday,3:01,N,0,32941,away
33,2001,SEA,2001-05-09,5,9,Wednesday,3:35,N,0,31616,away
34,2001,SEA,2001-05-10,5,10,Thursday,3:00,N,0,31428,away
35,2001,SEA,2001-05-11,5,11,Friday,2:57,N,0,20279,away
36,2001,SEA,2001-05-12,5,12,Saturday,3:24,D,0,24908,away
37,2001,SEA,2001-05-13,5,13,Sunday,3:09,D,0,20624,away
38,2001,SEA,2001-05-15,5,15,Tuesday,3:16,N,0,31096,home
39,2001,SEA,2001-05-16,5,16,Wednesday,2:58,N,0,33748,home
40,2001,SEA,2001-05-17,5,17,Thursday,2:53,D,0,43510,home
41,2001,SEA,2001-05-18,5,18,Friday,3:31,N,0,45794,home
42,2001,SEA,2001-05-19,5,19,Saturday,3:20,D,0,45880,home
43,2001,SEA,2001-05-20,5,20,Sunday,2:50,D,0,45953,home
44,2001,SEA,2001-05-22,5,22,Tuesday,3:28,N,0,29005,away
45,2001,SEA,2001-05-23,5,23,Wednesday,3:18,D,0,26605,away
46,2001,SEA,2001-05-25,5,25,Friday,3:08,N,0,17555,away
47,2001,SEA,2001-05-26,5,26,Saturday,2:55,N,0,21368,away
48,2001,SEA,2001-05-27,5,27,Sunday,3:27,D,0,19524,away
49,2001,SEA,2001-05-28,5,28,Monday,2:57,D,0,20142,away
50,2001,SEA,2001-05-29,5,29,Tuesday,2:40,N,0,30413,home
51,2001,SEA,2001-05-30,5,30,Wednesday,3:43,N,0,34757,home
52,2001,SEA,2001-05-31,5,31,Thursday,2:44,N,0,37612,home
53,2001,SEA,2001-06-01,6,1,Friday,3:23,N,0,41094,home
54,2001,SEA,2001-06-02,6,2,Saturday,3:18,N,0,45473,home
55,2001,SEA,2001-06-03,6,3,Sunday,3:16,D,0,45390,home
56,2001,SEA,2001-06-04,6,4,Monday,3:02,N,0,45812,home
57,2001,SEA,2001-06-05,6,5,Tuesday,2:56,N,0,44853,home
58,2001,SEA,2001-06-06,6,6,Wednesday,3:14,N,0,45754,home
59,2001,SEA,2001-06-08,6,8,Friday,2:43,N,0,45293,home
60,2001,SEA,2001-06-09,6,9,Saturday,3:03,N,0,45322,home
61,2001,SEA,2001-06-10,6,10,Sunday,2:47,D,0,45418,home
62,2001,SEA,2001-06-12,6,12,Tuesday,3:24,N,0,41263,away
63,2001,SEA,2001-06-14,6,14,Thursday,2:40,D,0,45261,away
64,2001,SEA,2001-06-14,6,14,Thursday,2:43,N,0,37048,away
65,2001,SEA,2001-06-15,6,15,Friday,3:09,N,0,60918,away
66,2001,SEA,2001-06-16,6,16,Saturday,3:03,N,0,61065,away
67,2001,SEA,2001-06-17,6,17,Sunday,3:42,D,0,36027,away
68,2001,SEA,2001-06-18,6,18,Monday,2:40,N,0,16368,away
69,2001,SEA,2001-06-19,6,19,Tuesday,3:19,N,0,17542,away
70,2001,SEA,2001-06-20,6,20,Wednesday,2:57,N,0,40639,away
71,2001,SEA,2001-06-21,6,21,Thursday,3:37,D,0,23642,away
72,2001,SEA,2001-06-22,6,22,Friday,2:50,N,0,45461,home
73,2001,SEA,2001-06-23,6,23,Saturday,2:49,N,0,45430,home
74,2001,SEA,2001-06-24,6,24,Sunday,3:01,D,0,45722,home
75,2001,SEA,2001-06-26,6,26,Tuesday,3:12,N,0,45337,home
76,2001,SEA,2001-06-27,6,27,Wednesday,3:13,N,0,45104,home
77,2001,SEA,2001-06-28,6,28,Thursday,3:01,D,0,45399,home
78,2001,SEA,2001-06-29,6,29,Friday,2:51,N,0,40822,away
79,2001,SEA,2001-06-30,6,30,Saturday,2:54,D,0,27784,away
80,2001,SEA,2001-07-01,7,1,Sunday,2:56,N,0,28887,away
81,2001,SEA,2001-07-02,7,2,Monday,3:51,N,0,28487,away
82,2001,SEA,2001-07-03,7,3,Tuesday,2:58,N,0,41849,away
83,2001,SEA,2001-07-04,7,4,Wednesday,2:50,N,0,49103,away
84,2001,SEA,2001-07-05,7,5,Thursday,2:52,N,0,29797,away
85,2001,SEA,2001-07-06,7,6,Friday,3:06,N,0,53072,away
86,2001,SEA,2001-07-07,7,7,Saturday,2:59,D,0,40937,away
87,2001,SEA,2001-07-08,7,8,Sunday,2:28,D,0,40511,away
88,2001,SEA,2001-07-12,7,12,Thursday,3:39,N,0,45696,home
89,2001,SEA,2001-07-13,7,13,Friday,2:42,N,0,45909,home
90,2001,SEA,2001-07-14,7,14,Saturday,2:41,D,0,45809,home
91,2001,SEA,2001-07-15,7,15,Sunday,2:25,N,0,45855,home
92,2001,SEA,2001-07-16,7,16,Monday,3:15,N,0,45770,home
93,2001,SEA,2001-07-17,7,17,Tuesday,2:39,D,0,45894,home
94,2001,SEA,2001-07-18,7,18,Wednesday,2:40,N,0,15818,away
95,2001,SEA,2001-07-19,7,19,Thursday,2:58,N,0,21566,away
96,2001,SEA,2001-07-20,7,20,Friday,2:52,N,0,36863,away
97,2001,SEA,2001-07-21,7,21,Saturday,2:55,D,0,33501,away
98,2001,SEA,2001-07-22,7,22,Sunday,2:55,D,0,44665,away
99,2001,SEA,2001-07-23,7,23,Monday,2:56,D,0,31220,away
100,2001,SEA,2001-07-24,7,24,Tuesday,2:39,N,0,45119,home
101,2001,SEA,2001-07-25,7,25,Wednesday,2:29,N,0,45265,home
102,2001,SEA,2001-07-26,7,26,Thursday,2:36,N,0,44519,home
103,2001,SEA,2001-07-27,7,27,Friday,2:43,N,0,45808,home
104,2001,SEA,2001-07-28,7,28,Saturday,2:39,D,0,45681,home
105,2001,SEA,2001-07-29,7,29,Sunday,2:47,D,0,45780,home
106,2001,SEA,2001-07-31,7,31,Tuesday,2:24,N,0,30022,away
107,2001,SEA,2001-08-01,8,1,Wednesday,3:01,N,0,23847,away
108,2001,SEA,2001-08-02,8,2,Thursday,2:23,N,0,27097,away
109,2001,SEA,2001-08-03,8,3,Friday,2:36,N,0,42580,away
110,2001,SEA,2001-08-04,8,4,Saturday,3:48,D,0,42440,away
111,2001,SEA,2001-08-05,8,5,Sunday,4:11,N,0,42494,away
112,2001,SEA,2001-08-06,8,6,Monday,3:31,N,0,42058,away
113,2001,SEA,2001-08-07,8,7,Tuesday,4:37,N,0,45636,home
114,2001,SEA,2001-08-08,8,8,Wednesday,2:47,N,0,45450,home
115,2001,SEA,2001-08-09,8,9,Thursday,3:13,N,0,45670,home
116,2001,SEA,2001-08-10,8,10,Friday,3:19,N,0,45665,home
117,2001,SEA,2001-08-11,8,11,Saturday,3:04,N,0,45898,home
118,2001,SEA,2001-08-12,8,12,Sunday,2:48,N,0,45765,home
119,2001,SEA,2001-08-14,8,14,Tuesday,3:53,N,0,33790,away
120,2001,SEA,2001-08-15,8,15,Wednesday,2:44,N,0,33186,away
121,2001,SEA,2001-08-16,8,16,Thursday,2:43,N,0,33548,away
122,2001,SEA,2001-08-17,8,17,Friday,2:51,N,0,54616,away
123,2001,SEA,2001-08-18,8,18,Saturday,3:47,D,0,55294,away
124,2001,SEA,2001-08-19,8,19,Sunday,3:07,D,0,54339,away
125,2001,SEA,2001-08-20,8,20,Monday,2:22,N,0,45972,home
126,2001,SEA,2001-08-21,8,21,Tuesday,2:20,N,0,45036,home
127,2001,SEA,2001-08-22,8,22,Wednesday,2:57,N,0,45814,home
128,2001,SEA,2001-08-23,8,23,Thursday,3:10,D,0,45063,home
129,2001,SEA,2001-08-24,8,24,Friday,2:42,N,0,45767,home
130,2001,SEA,2001-08-25,8,25,Saturday,4:07,D,0,45818,home
131,2001,SEA,2001-08-26,8,26,Sunday,3:22,D,0,45782,home
132,2001,SEA,2001-08-28,8,28,Tuesday,2:33,N,0,11687,away
133,2001,SEA,2001-08-29,8,29,Wednesday,2:30,N,0,12792,away
134,2001,SEA,2001-08-30,8,30,Thursday,3:05,D,0,12260,away
135,2001,SEA,2001-08-31,8,31,Friday,2:28,N,0,37084,away
136,2001,SEA,2001-09-01,9,1,Saturday,3:34,D,0,45668,away
137,2001,SEA,2001-09-02,9,2,Sunday,2:45,D,0,45359,away
138,2001,SEA,2001-09-03,9,3,Monday,3:35,N,0,45728,home
139,2001,SEA,2001-09-04,9,4,Tuesday,3:03,N,0,44859,home
140,2001,SEA,2001-09-05,9,5,Wednesday,3:19,N,0,44720,home
141,2001,SEA,2001-09-07,9,7,Friday,2:52,N,0,45797,home
142,2001,SEA,2001-09-08,9,8,Saturday,2:32,N,0,45894,home
143,2001,SEA,2001-09-09,9,9,Sunday,2:21,D,0,45344,home
144,2001,SEA,2001-09-10,9,10,Monday,3:08,N,0,20311,away
145,2001,SEA,2001-09-18,9,18,Tuesday,2:20,N,0,45294,home
146,2001,SEA,2001-09-19,9,19,Wednesday,2:54,N,0,45459,home
147,2001,SEA,2001-09-20,9,20,Thursday,3:07,D,0,44768,home
148,2001,SEA,2001-09-21,9,21,Friday,3:01,N,0,30387,away
149,2001,SEA,2001-09-22,9,22,Saturday,3:12,D,0,45734,away
150,2001,SEA,2001-09-23,9,23,Sunday,3:03,D,0,38628,away
151,2001,SEA,2001-09-24,9,24,Monday,3:38,N,0,22765,away
152,2001,SEA,2001-09-25,9,25,Tuesday,3:08,N,0,27781,away
153,2001,SEA,2001-09-26,9,26,Wednesday,3:26,D,0,24712,away
154,2001,SEA,2001-09-28,9,28,Friday,2:43,N,0,45695,home
155,2001,SEA,2001-09-29,9,29,Saturday,3:11,N,0,45104,home
156,2001,SEA,2001-09-30,9,30,Sunday,2:50,D,0,45674,home
157,2001,SEA,2001-01-02,10,2,Tuesday,3:17,N,0,18600,away
158,2001,SEA,2001-01-03,10,3,Wednesday,3:22,N,0,18503,away
159,2001,SEA,2001-01-04,10,4,Thursday,3:16,N,0,45302,home
160,2001,SEA,2001-01-05,10,5,Friday,2:16,N,0,45333,home
161,2001,SEA,2001-01-06,10,6,Saturday,2:19,N,0,45607,home
162,2001,SEA,2001-01-07,10,7,Sunday,2:56,D,0,45578,home
1,2002,SEA,2002-04-01,4,1,Monday,3:18,D,0,46036,home
2,2002,SEA,2002-04-02,4,2,Tuesday,3:03,N,0,40805,home
3,2002,SEA,2002-04-03,4,3,Wednesday,2:50,N,0,31082,home
4,2002,SEA,2002-04-05,4,5,Friday,2:27,N,0,40303,home
5,2002,SEA,2002-04-06,4,6,Saturday,3:12,N,0,45093,home
6,2002,SEA,2002-04-07,4,7,Sunday,3:54,N,0,39870,home
7,2002,SEA,2002-04-08,4,8,Monday,3:23,N,0,16908,away
8,2002,SEA,2002-04-09,4,9,Tuesday,2:54,N,0,17210,away
9,2002,SEA,2002-04-10,4,10,Wednesday,2:22,N,0,17784,away
10,2002,SEA,2002-04-11,4,11,Thursday,2:35,N,0,18806,away
11,2002,SEA,2002-04-12,4,12,Friday,3:13,N,0,32870,away
12,2002,SEA,2002-04-13,4,13,Saturday,3:12,N,0,39644,away
13,2002,SEA,2002-04-14,4,14,Sunday,3:39,D,0,32866,away
14,2002,SEA,2002-04-15,4,15,Monday,3:42,N,0,20208,away
15,2002,SEA,2002-04-16,4,16,Tuesday,2:23,N,0,13022,away
16,2002,SEA,2002-04-17,4,17,Wednesday,3:43,N,0,31260,away
17,2002,SEA,2002-04-19,4,19,Friday,2:52,N,0,45346,home
18,2002,SEA,2002-04-20,4,20,Saturday,3:44,N,0,45354,home
19,2002,SEA,2002-04-21,4,21,Sunday,2:35,D,0,45448,home
20,2002,SEA,2002-04-22,4,22,Monday,2:59,N,0,33119,home
21,2002,SEA,2002-04-23,4,23,Tuesday,2:25,N,0,32127,home
22,2002,SEA,2002-04-24,4,24,Wednesday,3:27,N,0,37212,home
23,2002,SEA,2002-04-26,4,26,Friday,2:48,N,0,45814,home
24,2002,SEA,2002-04-27,4,27,Saturday,2:28,N,0,46047,home
25,2002,SEA,2002-04-28,4,28,Sunday,3:11,D,0,46115,home
26,2002,SEA,2002-04-30,4,30,Tuesday,2:41,N,0,16253,away
27,2002,SEA,2002-05-01,5,1,Wednesday,2:50,N,0,12735,away
28,2002,SEA,2002-05-02,5,2,Thursday,3:00,N,0,12891,away
29,2002,SEA,2002-05-03,5,3,Friday,2:55,N,0,47918,away
30,2002,SEA,2002-05-04,5,4,Saturday,3:30,D,0,52081,away
31,2002,SEA,2002-05-05,5,5,Sunday,2:59,D,0,48176,away
32,2002,SEA,2002-05-07,5,7,Tuesday,2:44,N,0,34500,home
33,2002,SEA,2002-05-08,5,8,Wednesday,3:39,N,0,35190,home
34,2002,SEA,2002-05-09,5,9,Thursday,4:50,N,0,37734,home
35,2002,SEA,2002-05-10,5,10,Friday,2:42,N,0,45833,home
36,2002,SEA,2002-05-11,5,11,Saturday,2:56,N,0,45887,home
37,2002,SEA,2002-05-12,5,12,Sunday,3:11,N,0,45862,home
38,2002,SEA,2002-05-14,5,14,Tuesday,2:53,N,0,14308,away
39,2002,SEA,2002-05-15,5,15,Wednesday,3:11,N,0,17012,away
40,2002,SEA,2002-05-16,5,16,Thursday,3:09,N,0,14280,away
41,2002,SEA,2002-05-17,5,17,Friday,2:59,N,0,33205,away
42,2002,SEA,2002-05-18,5,18,Saturday,2:25,D,0,32385,away
